rank,smiles,postera_code
201,CCC(=O)NC[C@@H]1C[C@H]1c1cccc2ccccc12,ANT-OPE-6a1-2
202,O=C(CC1(C#Cc2c[nH]cn2)CCCCC1)Nc1cccnc1,CHR-SOS-54d-6
203,C=S(=C)(c1ccsc1)N1CCN2CC1c1ccncc1NC(=O)C2=O,MAK-UNK-bdd-3
204,C#Cc1ncc(C)c(CCNC(=O)CN2CCNCC2)c1NC(=O)N(CN1CCOCC1)c1cc(C)ccn1,AGN-NEW-051-4
205,OCc1ccncc1-c1cc(CCc2cn[nH]c2Cl)ccn1,MUS-SCH-c2f-3
206,CCNCC1(C(=O)Nc2cccnc2)CCCCC1,PET-SGC-1fc-1
207,CC(=O)/C=C/C1(Cc2ccccc2)COC(Cn2cc3c(n2)CC(NC(N)=[NH2+])C3c2nc(Cc3ccccc3)co2)=N1,ABH-UNI-fbf-1
208,C[NH2+]Cc1cc(-c2ccccc2F)n(S(=O)(=O)c2cncc(OC(=O)c3ccc(S(N)(=O)=O)cc3)c2)c1,MAK-UNK-de9-17
209,[NH3+]CC1OC(C2[NH2+]CCCC2O)Cc2c1ccc(O)c2O,MAK-UNK-198-1
210,Cc1ccccc1-n1c(=O)n(-c2cccnc2)c(=O)c2cc(F)c(Cl)cc21,MAK-UNK-9e4-32
211,O=c1c2cc(F)c(Cl)cc2n(-c2cccc(Cl)c2)c(=O)n1-c1cccnc1,RAI-NOV-c18-3
212,CC1OC(n2c(NC3CCCCC3)ccnc2=O)C(Nc2cncnc2)C1O,MAK-UNK-f24-10
213,NC(=O)C1CCN(C(=O)C(Cl)C(C(=O)Nc2ccccc2)c2cccnc2)CC1,BEN-DND-031-6
214,CC(=O)N1CCN(Cc2ccc3ccc(S(N)(=O)=O)cc3n2)CC1,JAN-GHE-1d9-5
215,Cc1ccc(CC(=O)NCCCc2ccsc2)cc1,MAK-UNK-ace-8
216,N#Cc1cnn(-c2ccccc2NC(=O)Cc2ccn[nH]2)c1N,BAR-COM-4e0-14
217,COc1ccc(CCc2ccnc(C(=O)N3CCSCC3)c2)cc1,WAR-XCH-bdd-3
218,O=c1c2cc(F)c(Cl)cc2n(-c2ccccc2)c(=S)n1-c1cccnc1,MAK-UNK-9e4-7
219,O=C(Nc1ccccc1O)C1(C#Cc2ccccn2)CCCCC1,WAR-XCH-b03-17
220,CCOC(=O)C(c1c(O)c2ccccc2oc1=O)c1c(O)c2ccccc2oc1=O,GER-UNI-9e0-1
221,N#CCOc1ccccc1C(=O)NCc1cnsc1,BAR-COM-4e0-49
222,N#Cc1ccccc1NC(=O)Cc1cccnc1,ANT-DIA-3c7-2
223,CC(=O)CC1CCN(c2cccnc2)C(=O)N1c1cccnc1,EMI-TUK-6c6-1
224,CN1CCN(C(=O)Cc2c[nH]c3ncc(C(=O)NCCc4c[nH]c5ccc(F)cc45)cc23)CC1,MAK-UNK-105-16
225,CCC(=O)NC[C@@H]1C[C@H]1c1ccccc1,ANT-OPE-6a1-1
226,O=C(NCC1CC1)N(Cc1cccnc1)C(=O)c1ccccc1,MIC-SGC-657-4
227,Cc1cncc(-n2c(=O)c3cc(F)c(Cl)cc3n(-c3ccccc3)c2=O)c1,MAK-UNK-9e4-29
